need header,,,,,,,,,,,,,,# obs,maxent run (1=yes),# of asciis produced
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leucopternis,Leucopternis,albicollis,42,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leucopternis,Leucopternis,schistaceus,12,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leucopternis,Leucopternis,occidentalis,11,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophotriorchis,Lophotriorchis,kienerii,106,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leptodon,Leptodon,cayanensis,533,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Kaupifalco,Kaupifalco,monogrammicus,697,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Macheiramphus,Macheiramphus,alcinus,134,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus,melanoleucus,512,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,gallicus,2408,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,pectoralis,1025,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,cinereus,834,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,cinerascens,132,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,beaudouini,37,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus,fasciolatus,51,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,Lophoictinia,isura,806,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Morphnus,Morphnus,guianensis,60,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus,cirrhatus,87,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus,nipalensis,125,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus,alboniger,47,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus,nanus,35,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus,kelaarti,17,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophaetus,Lophaetus,occipitalis,750,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Micronisus,Micronisus,gabar,937,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Necrosyrtes,Necrosyrtes,monachus,569,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,Neophron,percnopterus,1309,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Sarcogyps,Sarcogyps,calvus,69,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,Spilornis,cheela,441,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Polemaetus,Polemaetus,bellicosus,1228,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus,morphnoides,2951,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus,pennatus,2028,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus,ayresii,75,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus,wahlbergi,813,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus,weiskei,15,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus,tyrannus,398,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus,melanoleucus,153,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus,ornatus,233,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus,isidori,52,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Urotriorchis,Urotriorchis,macrourus,26,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Melierax,Melierax,canorus,2072,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Melierax,Melierax,metabates,458,1,532
,rdsi,vol08,wallace2,W2,models,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Melierax,Melierax,poliopterus,207,1,532
