name,id
"Australasian Shoveler (Anas rhynchotis)","Anas_rhynchotis"
"Blue-wing (Anas rhynchotis)","Anas_rhynchotis"
"Blue-winged Shoveler (Anas rhynchotis)","Anas_rhynchotis"
"Kuruwhengi (Anas rhynchotis)","Anas_rhynchotis"
"Shovelbill (Anas rhynchotis)","Anas_rhynchotis"
"Shoveler (Anas rhynchotis)","Anas_rhynchotis"
"Spoonbill Duck (Anas rhynchotis)","Anas_rhynchotis"
"Stinker (Anas rhynchotis)","Anas_rhynchotis"
"Widgeon (Anas rhynchotis)","Anas_rhynchotis"
"Australian Shoveler (Anas rhynchotis)","Anas_rhynchotis"
"Australasian Shoveller (Anas rhynchotis)","Anas_rhynchotis"
"Pacific Black Duck (Anas superciliosa)","Anas_superciliosa"
"Australian Wild Duck (Anas superciliosa)","Anas_superciliosa"
"Black Duck (Anas superciliosa)","Anas_superciliosa"
"Blackie (Anas superciliosa)","Anas_superciliosa"
"Brown Duck (Anas superciliosa)","Anas_superciliosa"
"Grey Duck (Anas superciliosa)","Anas_superciliosa"
"Parera (Anas superciliosa)","Anas_superciliosa"
"Wild Duck (Anas superciliosa)","Anas_superciliosa"
"Gray Duck (Anas superciliosa)","Anas_superciliosa"
"African Darter (Anhinga melanogaster)","Anhinga_melanogaster"
"Darter (Anhinga melanogaster)","Anhinga_melanogaster"
"Oriental Darter (Anhinga melanogaster)","Anhinga_melanogaster"
"Shag, Snake Bird (Anhinga melanogaster)","Anhinga_melanogaster"
"Australasian Darter (Anhinga novaehollandiae)","Anhinga_novaehollandiae"
"Australian Darter (Anhinga novaehollandiae)","Anhinga_novaehollandiae"
"Black Noddy (Anous minutus)","Anous_minutus"
"White-capped Noddy (Anous minutus)","Anous_minutus"
"Common Noddy (Anous stolidus)","Anous_stolidus"
"Brown Noddy (Anous stolidus)","Anous_stolidus"
"Lesser Noddy (Anous tenuirostris)","Anous_tenuirostris"
"Sooty Noddy (Anous tenuirostris)","Anous_tenuirostris"
"Domestic Goose (Anser anser)","Anser_anser"
"Greylag Goose (Anser anser)","Anser_anser"
"White Domestic Goose (Anser anser)","Anser_anser"
"Magpie Goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Black and White Goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Pied Goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Semipalmated Goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Wild Goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Magpie-goose (Anseranas semipalmata)","Anseranas_semipalmata"
"Red Wattlebird (Anthochaera carunculata)","Anthochaera_carunculata"
"Barkingbird, Gillbird (Anthochaera carunculata)","Anthochaera_carunculata"
"Little Wattlebird (Anthochaera chrysoptera)","Anthochaera_chrysoptera"
"Western Wattlebird (Anthochaera lunulata)","Anthochaera_lunulata"
"Yellow Wattlebird (Anthochaera paradoxa)","Anthochaera_paradoxa"
"Regent Honeyeater (Anthochaera phrygia)","Anthochaera_phrygia"
"Australasian Pipit (Anthus novaeseelandiae)","Anthus_novaeseelandiae"
"Australian Pipit (Anthus novaeseelandiae)","Anthus_novaeseelandiae"
"New Zealand Pipit (Anthus novaeseelandiae)","Anthus_novaeseelandiae"
"Richard's Pipit (Anthus novaeseelandiae)","Anthus_novaeseelandiae"
"Richards Pipit (Anthus novaeseelandiae)","Anthus_novaeseelandiae"
"Southern Whiteface (Aphelocephala leucopsis)","Aphelocephala_leucopsis"
"Banded Whiteface (Aphelocephala nigricincta)","Aphelocephala_nigricincta"
"Chestnut-breasted Whiteface (Aphelocephala pectoralis)","Aphelocephala_pectoralis"
"Metallic Starling (Aplornis metallica)","Aplornis_metallica"
"Red-winged Parrot (Aprosmictus erythropterus)","Aprosmictus_erythropterus"
"Papagayo Alirrojo (Aprosmictus erythropterus)","Aprosmictus_erythropterus"
"King Penguin (Aptenodytes patagonicus)","Aptenodytes_patagonicus"
"Fork-tailed Swift (Apus pacificus)","Apus_pacificus"
"Pacific Swift (Apus pacificus)","Apus_pacificus"
"Wedge-tailed Eagle (Aquila audax)","Aquila_audax"
"Aguila Audaz (Aquila audax)","Aquila_audax"
"Great White Egret (Ardea alba)","Ardea_alba"
"Great White Heron (Ardea alba)","Ardea_alba"
"Great Egret (Ardea alba)","Ardea_alba"
"Large Egret (Ardea alba)","Ardea_alba"
"Cocoi Heron (Ardea cocoi)","Ardea_cocoi"
"Cattle Egret (Ardea ibis)","Ardea_ibis"
"Buff-backed Heron (Ardea ibis)","Ardea_ibis"
"Elephant Bird (Ardea ibis)","Ardea_ibis"
"Garcilla Garrapatera (Ardea ibis)","Ardea_ibis"
"Garcita De Ganado (Ardea ibis)","Ardea_ibis"
"Garrapatera (Ardea ibis)","Ardea_ibis"
"Garrapatosa (Ardea ibis)","Ardea_ibis"
"Garza De Ganado (Ardea ibis)","Ardea_ibis"
"Garza De Vaquèra (Ardea ibis)","Ardea_ibis"
"Garza De Vaqu��ra (Ardea ibis)","Ardea_ibis"
"Hippopotomus Egret (Ardea ibis)","Ardea_ibis"
"Indian Cattle Egret (Ardea ibis)","Ardea_ibis"
"Rhinoceros Egret (Ardea ibis)","Ardea_ibis"
"Afrikaanse Koereiger (Ardea ibis)","Ardea_ibis"
"Depulgabuey (Ardea ibis)","Ardea_ibis"
"Intermediate Egret (Ardea intermedia)","Ardea_intermedia"
"Eastern Great Egret (Ardea modesta)","Ardea_modesta"
"White-necked Heron (Ardea pacifica)","Ardea_pacifica"
"Pacific Heron (Ardea pacifica)","Ardea_pacifica"
"Necked Heron (Ardea pacifica)","Ardea_pacifica"
"White-necked Heron, White-necked Crane (Ardea pacifica)","Ardea_pacifica"
"Great-billed Heron (Ardea sumatrana)","Ardea_sumatrana"
"Buller's Shearwater (Ardenna bulleri)","Ardenna_bulleri"
"Bullers Shearwater (Ardenna bulleri)","Ardenna_bulleri"
"Flesh-footed Shearwater (Ardenna carneipes)","Ardenna_carneipes"
"Sooty Shearwater (Ardenna grisea)","Ardenna_grisea"
"Wedge-tailed Shearwater (Ardenna pacifica)","Ardenna_pacifica"
"Muttonbird, Sooty Shearwater (Ardenna pacifica)","Ardenna_pacifica"
"Short-tailed Shearwater (Ardenna tenuirostris)","Ardenna_tenuirostris"
"Australian Bustard (Ardeotis australis)","Ardeotis_australis"
"Ruddy Turnstone (Arenaria interpres)","Arenaria_interpres"
"Turnstone (Arenaria interpres)","Arenaria_interpres"
"Pied Monarch (Arses kaupi)","Arses_kaupi"
"Frill-necked Monarch (Arses lorealis)","Arses_lorealis"
"Frilled Monarch (Arses telescopthalmus)","Arses_telescopthalmus"
"Black-faced Woodswallow (Artamus cinereus)","Artamus_cinereus"
"Dusky Woodswallow (Artamus cyanopterus)","Artamus_cyanopterus"
"White-breasted Woodswallow (Artamus leucorynchus)","Artamus_leucorynchus"
"Little Woodswallow (Artamus minor)","Artamus_minor"
"Masked Woodswallow (Artamus personatus)","Artamus_personatus"
"White-browed Woodswallow (Artamus superciliosus)","Artamus_superciliosus"
"Gibberbird (Ashbyia lovensis)","Ashbyia_lovensis"
"Rufous Scrub-bird (Atrichornis rufescens)","Atrichornis_rufescens"
"Rufous Scrubbird (Atrichornis rufescens)","Atrichornis_rufescens"
"Pacific Baza (Aviceda subcristata)","Aviceda_subcristata"
"Crested Hawk (Aviceda subcristata)","Aviceda_subcristata"
"Hardhead (Aythya australis)","Aythya_australis"
"Barwing (Aythya australis)","Aythya_australis"
"Brownhead (Aythya australis)","Aythya_australis"
"Copperhead (Aythya australis)","Aythya_australis"
"Coppertop (Aythya australis)","Aythya_australis"
"Karakahia (Aythya australis)","Aythya_australis"
"Pienkarry (Aythya australis)","Aythya_australis"
"Punkari (Aythya australis)","Aythya_australis"
"White-eye (Aythya australis)","Aythya_australis"
"White-eyed Duck (Aythya australis)","Aythya_australis"
"White-wing (Aythya australis)","Aythya_australis"
"White-winged Duck (Aythya australis)","Aythya_australis"
"Widgeon (Aythya australis)","Aythya_australis"
"Hardhead Duck (Aythya australis)","Aythya_australis"
"Hardhead, Copperhead (Aythya australis)","Aythya_australis"
"Australian Ringneck (Barnardius zonarius)","Barnardius_zonarius"
"Ringneck Parrot (Barnardius zonarius)","Barnardius_zonarius"
"Musk Duck (Biziura lobata)","Biziura_lobata"
"Diver (Biziura lobata)","Biziura_lobata"
"Diving Duck (Biziura lobata)","Biziura_lobata"
"Mould Goose (Biziura lobata)","Biziura_lobata"
"Must Duck (Biziura lobata)","Biziura_lobata"
"Steamer (Biziura lobata)","Biziura_lobata"
"Australasian Bittern (Botaurus poiciloptilus)","Botaurus_poiciloptilus"
"Bulwer's Petrel (Bulweria bulwerii)","Bulweria_bulwerii"
"Bulwers Petrel (Bulweria bulwerii)","Bulweria_bulwerii"
"Bush Stone-curlew (Burhinus grallarius)","Burhinus_grallarius"
"Bush Stonecurlew (Burhinus grallarius)","Burhinus_grallarius"
"Bush Thick-knee (Burhinus grallarius)","Burhinus_grallarius"
"Striated Heron (Butorides striatus)","Butorides_striatus"
"Green-backed Heron (Butorides striatus)","Butorides_striatus"
"Mangrove Heron, Mangrove Bittern, Mangrove Jack, Green-backed Heron (Butorides striatus)","Butorides_striatus"
"Sulphur-crested Cockatoo (Cacatua galerita)","Cacatua_galerita"
"Crested Cockatoo (Cacatua galerita)","Cacatua_galerita"
"Western Corella (Cacatua pastinator)","Cacatua_pastinator"
"Little Corella (Cacatua sanguinea)","Cacatua_sanguinea"
"Little Corellas (Cacatua sanguinea)","Cacatua_sanguinea"
"Short-billed Cockatoo (Cacatua sanguinea)","Cacatua_sanguinea"
"Long-billed Corella (Cacatua tenuirostris)","Cacatua_tenuirostris"
"Slender-billed Cockatoo (Cacatua tenuirostris)","Cacatua_tenuirostris"
"Chestnut-breasted Cuckoo (Cacomantis castaneiventris)","Cacomantis_castaneiventris"
"Fan-tailed Cuckoo (Cacomantis flabelliformis)","Cacomantis_flabelliformis"
"Tailed Cuckoo (Cacomantis flabelliformis)","Cacomantis_flabelliformis"
"Pallid Cuckoo (Cacomantis pallidus)","Cacomantis_pallidus"
"Brush Cuckoo (Cacomantis variolosus)","Cacomantis_variolosus"
"Muscovy Duck (Cairina moschata)","Cairina_moschata"
"Rufous Fieldwren (Calamanthus campestris)","Calamanthus_campestris"
"Rufous Calamanthus (Calamanthus campestris)","Calamanthus_campestris"
"Striated Fieldwren (Calamanthus fuliginosus)","Calamanthus_fuliginosus"
"Striated Calamanthus (Calamanthus fuliginosus)","Calamanthus_fuliginosus"
"Sharp-tailed Sandpiper (Calidris acuminata)","Calidris_acuminata"
"Sanderling (Calidris alba)","Calidris_alba"
"Red Knot (Calidris canutus)","Calidris_canutus"
"Knot (Calidris canutus)","Calidris_canutus"
"Lesser Knot (Calidris canutus)","Calidris_canutus"
"Curlew Sandpiper (Calidris ferruginea)","Calidris_ferruginea"
"Pectoral Sandpiper (Calidris melanotos)","Calidris_melanotos"
"Little Stint (Calidris minuta)","Calidris_minuta"
"Red-necked Stint (Calidris ruficollis)","Calidris_ruficollis"
"Rufous-necked Stint (Calidris ruficollis)","Calidris_ruficollis"
"Long-toed Stint (Calidris subminuta)","Calidris_subminuta"
"Great Knot (Calidris tenuirostris)","Calidris_tenuirostris"
"Gang-gang Cockatoo (Callocephalon fimbriatum)","Callocephalon_fimbriatum"
"Gang-gang Cockatoo Population In The Hornsby And Ku-ring-gai Local Government Areas (Callocephalon fimbriatum)","Callocephalon_fimbriatum"
"Streaked Shearwater (Calonectris leucomelas)","Calonectris_leucomelas"
"Red-tailed Black-cockatoo (Calyptorhynchus banksii)","Calyptorhynchus_banksii"
"Red-tailed Black Cockatoo (Calyptorhynchus banksii)","Calyptorhynchus_banksii"
"Baudin's Black-cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
"Baudin's Black-Cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
"Long-billed Black-cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
"Long-billed Black Cockatoo (Calyptorhynchus baudinii)","Calyptorhynchus_baudinii"
